Title,Schedule,Description,Location,Phone,Email,Website
Action for Children,N/A,"If families and relationships are strengthened, children who were previously on the edge of being placed in care are able to stay at home.  We work with each member of the family with all children in the household receive care and attention, and where necessary…","Poolstock Lane, WIGAN, WN3 5HL, 0300 123 2112",N/A,N/A,N/A
Handyperson Service (Age UK Wigan Borough),N/A,Our Handyperson team helps with small jobs around your home. We provide a high quality and competitively priced service allowing people to live comfortably within their home across the Wigan Borough. To find out about our prices please contact our Support at Home team. What…,"74-80 Hallgate, Hallgate, Wigan, WN1 1HP, 01942 615880",N/A,N/A,N/A
Victim Support,N/A,"As an independent charity, we work towards a world where people affected by crime or traumatic events get the support they need and the respect they deserve. We help people feel safer and find the strength to move beyond crime. Our support is free,…",WN1 1NH,N/A,N/A,N/A
