Title,Schedule,Description,Location,Phone,Email,Website
Wigan Central Neighbourhood Family Hub (The Meadows),Open Monday to Friday,"Launched on 14th October 2023, Wigan Central Family Hub is the first of seven family hub networks across the borough.  Family hubs will operate as a network of services within your neighbourhood to provide accessible and connected services and support to all families. These services…","110-116, Ridyard Street, Wigan, WN5 9RQ, 01942 488000",N/A,N/A,N/A
Wigan Family Information Service,N/A,"Information For Parents / Carers If you are looking for childcare, holiday care or breakfast and after school care, please go to the Families section on Our Town Directory to see what is available in your local area. Wigan Family Information Service (FIS) can help with many…",N/A,N/A,N/A,N/A
