Title,Schedule,Description,Location,Phone,Email,Website
Action for Children,N/A,"If families and relationships are strengthened, children who were previously on the edge of being placed in care are able to stay at home.  We work with each member of the family with all children in the household receive care and attention, and where necessary…","Poolstock Lane, WIGAN, WN3 5HL, 0300 123 2112",N/A,N/A,N/A
AIM Northwest,N/A,"AIM Northwest provides support through a comprehensive range of services to anyone experiencing or recovering from domestic abuse. We provide support that is hollistic and tailored to meet your needs. Simultaneously, we offer intervention support for perpetrators, focusing on accountability, behavioral change, and fostering healthy…","Park Road, Leigh, WN7 2LB",N/A,N/A,N/A
DIAS Domestic Violence Centre,"The DIAS Drop In Centre is open Monday, Tuesday and Thursday between 8am-3pm.","DIAS Drop In Centre is open on Monday, Tuesday and Thursday between 8am - 3pm. DIAS works with women and men who are experiencing or recovering from domestic violence and abusive relationships, and helps them to regain control of the situation. We are dedicated to…","38 Rodney House, King Street, Wigan, WN1 1BT",N/A,N/A,N/A
Domestic Abuse,N/A,"If you are experiencing domestic abuse from a partner, ex-partner or family member, you can get free and confidential help. Please select the link below for further information, advice and people/services you can contact.",N/A,N/A,N/A,N/A
Samaritans of Wigan,N/A,"About Wigan Samaritans Our branch has been providing support to people in our local area and for a number of years. We offer emotional support in person, by telephone, by email and by text and on average each year we help over 22,900 people going…","73 Dicconson Street, WIGAN, LANCASHIRE, WN1 2AT, 116 123 (this number is free to call from any phone)",N/A,N/A,N/A
Victim Support,N/A,"As an independent charity, we work towards a world where people affected by crime or traumatic events get the support they need and the respect they deserve. We help people feel safer and find the strength to move beyond crime. Our support is free,…",WN1 1NH,N/A,N/A,N/A
WHAG,Monday - Friday,"WHAG is a domestic abuse charity set up in 1981 with services all across the North West providing housing and domestic abuse services. Our charitable aims are to work with women who are homeless or whose housing situation is not secure, and to work with…",N/A,N/A,N/A,N/A
