Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Just BU,N/A,"Our service supports and encourages even the shyest of people to get out there, and Just Be You. Just BU can help with: Develop Your Independence Gain Work Experience Get Qualified Get Involved with the Community Have Fun For more information on all the above…","Hindsford House, Printshop Lane, Atherton, Manchester, M46 9BJ",N/A,N/A,N/A
LifeBeats,N/A,"LifeBeats provides creative music sessions for people with learning/physical challenges. I currently provide sessions for My Life Legacy, Thrive CIC, True Colours CIC, CORE CIC and other day-care organisations in and around Wigan delivering music sessions using colour-assisted drums, song, dance, sign language, ukulele sessions,…",07403380486,N/A,N/A,N/A
More Than Words,"Open Mondays, Tuesdays, Wednesdays and Fridays from 9am to 4pm, and Thursdays 9am to 6.30pm","Are you an aspiring actor or drama queen?  More Than Words is a not-for-profit community organisation in Wigan that supports children, young people and adults with disabilities and/or autism. We specialise in drama, music, sports and healthy living activities, but we also provide opportunities for young…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 01942 735426",N/A,N/A,N/A
Mums in the Know (Families),N/A,"Find all the information you need to get the most out of family life so you can rely on us for upto date information on local family and children's events, activities, clubs and classes, holiday activities, children's parties, eating out, local services and much,…",N/A,N/A,N/A,N/A
My Life,Open Monday to Friday from 9am to 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer a range of services, tailored to…","Thompson House Equestrian Centre, Off Pepper Lane, Standish, Wigan, Greater Manchester, WN6 0PP, 01257 472 900",N/A,N/A,N/A
Party Project,"Last Tuesday of each month, always 6pm-8pm","PossAbilities and OV-Group have teamed up to host an inclusive pub night for adults with disabilities in our community. Our aim is to provide a fun and safe environment in which individuals are free to enjoy themselves. Filled with music. karaoke, games, prizes, laughter and…","14, Upper Dicconson Street, Swinley, Wigan, Greater Manchester, WN1 2DU",N/A,N/A,N/A
TENS 2 TEENS - ACTIVITIES IN & AROUND WIGAN,various activities,"This group is aimed at parents and carers of young people in and around the Wigan area. Share information on activities, events, clubs and volunteer opportunities in or around the Wigan area. Please visit their Facebook page link below for full information.",N/A,N/A,N/A,N/A
