Title,Schedule,Description,Location,Phone,Email,Website
The Holden School,N/A,"The Holden School is a purpose-built school that has been designed specifically with the needs of the children we support in mind. Each class has no more than six or seven children looked after by a teacher and teaching assistant, so children get a high…","Firs Lane, Leigh, WN7 4SB",N/A,N/A,N/A
Hope School and College,N/A,"“Where achievement, equality and independence are a key aspiration for all” Hope School and College is located in Marus Bridge and is a community special school catering for ages 2-19 with a range of severe and complex needs. We are the designated school in Wigan…","Kelvin Grove, Wigan, WN3 6SP, 01942 824150",N/A,N/A,N/A
Landgate School,N/A,Landgate School is a partner school in the Aspire Federation. Our Federation was newly formed in September 2015. Our Schools operate as individual schools but share a commitment to driving forward transformational SEN provision. We are an inclusive school. We enable all learners to achieve…,"Landgate Lane, Ashton-in-makerfield, Wigan, WN4 0EP, 01942 776688",N/A,N/A,N/A
Low Bank Ground Outdoor Activity Centre,N/A,"Low Bank Ground is an outdoor activity centre that sits on the beautiful shores of Coniston Water, in the heart of the Lake District National Park. With spectacular natural environment at our disposal, our team of qualified and experienced instructors have been providing high quality…","Low Bank Ground, Coniston, LA21 8AA, 01942 489844",N/A,N/A,N/A
Newbridge Learning Community,N/A,Our school caters for pupils age 11-16 years. Our central aim is to enable the pupils to feel valued and respected as individuals and to see them constructively involved in the life and work of the school. Please click the link to view our latest…,"Moss Lane, Platt Bridge, WIGAN, LANCASHIRE, WN2 3TL, 01942 369770",N/A,N/A,N/A
Oakfield High School,N/A,At Oakfield High School and College we understand the importance of preparing our young people for the future and we will help them to develop the skills and qualities they will need to make a positive contribution to the community.The opportunities and challenges offered at…,"Long Lane, Hindley Green, WIGAN, WN2 4XA, 01942 776142",N/A,N/A,N/A
Rowan Tree Primary School,N/A,"Welcome Rowan Tree Primary is a community special school for pupils aged 4 – 11 years. All pupils have an Educational Health Care Plan and require highly specialist teaching due to their severe and complex needs. At present, there are 116 pupils on roll. We provide a…","Greenhall Close, Atherton, Manchester, M46 9HP, 01942 883928",N/A,N/A,N/A
Wigan Independent SEND School,N/A,"Expanse WISS provides places for a maximum number of 31 students and consequently is a small, personalised and nurturing environment for young people aged 11-16 with Special Educational Needs and Disabilities, Social, Emotional Mental Health issues and for those young people who have found a mainstream…","Tyrer Ave, Worsley Mesenes, Wigan, Greater Manchester, WN3 5XE",N/A,N/A,N/A
Willow Grove Primary School,N/A,"At Willow Grove School we continually strive to provide the very best for your children and their social, emotional and mental health needs.  This has meant that we have continued to develop our offer in the school.  Through research inquiry, intensive CPD and through seeking the…","Willow Grove, Ashton-in-Makerfield, WIGAN, WN4 8XF, 01942 727717",N/A,N/A,N/A
