Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Libraries in the Wigan Borough,N/A,"In all libraries you will find a huge selection of books on all kinds of subjects, as well as compact discs, videos, talking books, newspapers, magazines, DVDs and FREE use of the internet computers. Libraries are free to join Below is a list of all the…",N/A,N/A,N/A,N/A
My Life,Open Monday to Friday from 9am to 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer a range of services, tailored to…","Thompson House Equestrian Centre, Off Pepper Lane, Standish, Wigan, Greater Manchester, WN6 0PP, 01257 472 900",N/A,N/A,N/A
My Life at Leigh Sports Village,Open Monday to Friday from 9am until 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer…","Leigh Sports Village, Sale Way, Leigh, WN7 4JY",N/A,N/A,N/A
One Vision Media,N/A,"At One Vision Studios we provide an alternative community based training and activities programme in film and media education; taking a person centred, needs led approach to learning and support that will enable individuals to make informed choices about themselves and their education. For full…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Thrive (HINDLEY) CIC,Monday to Friday (9am - 4pm),"THRIVE CIC specialise in providing an alternative quality service, offering opportunities for people aged 16 plus with support needs, enhancing life skills and strengthening quality of life through positive thinking and creative activities. We provide a variety of onsite sessions and workshops across Thrive's two…","office 2, Platt Lane, Hindley, Wigan, Greater Manchester, WN2 3PA",N/A,N/A,N/A
