Title,Schedule,Description,Location,Phone,Email,Website
"Beavers, Cubs and Scouts",N/A,N/A,N/A,N/A,N/A,N/A
Boys Brigade,N/A,"The Boys' Brigade provides a balanced programme of activities for children and young people from 5 to 18 years old. The Anchor Section is the youngest section in the BB and is for children aged between 5 and 8.  Activities include making things, crafts, music,…",0300 303 4454,N/A,N/A,N/A
"Rainbows, Brownies, Girl Guides",N/A,"Rainbows is our section for girls aged five to seven (four to seven in Northern Ireland). Rainbows is all about developing self-confidence, building friendships, learning new things and having fun. Brownies is our section for girls aged seven to ten. Through regular meetings, special events,…",N/A,N/A,N/A,N/A
Scouts,"Various times, contact the individual clubs for details",Scouting provides fun activities and personal development skills for young people between 6 and 18 years to enjoy.  To find your nearest group go to Scouts and enter your postcode.,WIGAN,N/A,N/A,N/A
Sea Cadets,N/A,"This groups offers all young people aged 10 - 18 a chance for personal development by working in teams and learning life skills and do outdoor activities like sailing, boating and rock climbing. Information on the local Sea Cadets For more information please visit their…","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
St Peters Pavilion,N/A,"St Peters Pavilion Limited, was formed in 2005. The founder members, Hindley St. Peter's Church, Hindley St. Peter's Cricket Club, Hindley ARLFC, St. Peter's Boys' Brigade and St. Peter's Girl Guides came together to work towards providing a much needed facility for the town of…","Hurst St, Hindley, WN2 3DN",N/A,N/A,N/A
St Thomas Church Ashton,N/A,Please visit their website provided and take a look at the Young Peoples activities taking place at St Thomas Church.,"18, Warrington Road, Ashton-in-makerfield, Wigan, WN4 9PL",N/A,N/A,N/A
