Title,Schedule,Description,Location,Phone,Email,Website
Friends of Hindley Cemetery,N/A,"Community group based in Hindley Cemetery, looking after the chapel and hoping to open it to the community in the near future.","Castle Hill Road, Hindley, WN2 4BU",N/A,N/A,N/A
Living Faith Church,Sunday at 11am,"Living Faith Church meet every Sunday at 10:30am for a service lead by Bishop Steven Lyn Evans.  This service is followed by coffees, teas and treats.  Bishop Steven also speaks on Living Faith Church Facebook Live every Wednesday at 7:30pm, follow our page for more…","25, Church Street, Orrell, Wigan, WN5 8TG",N/A,N/A,N/A
Masjid Tooba,N/A,"The mosque is open to people of all religious affiliations, men and women, and its main prayer halls currently hold upto 300 people during a Friday service, with over 200 worshippers walk through the mosque’s doors during the multiple services held on the religious festivals…","Clifton Street, Wigan, WN3 5HN, 01942861400",N/A,N/A,N/A
The Salvation Army - Wigan,N/A,"We aim to be an authentic community with a passion to serve others as and when we can. Our mission statement is .... To Know Christ, To Live Christ, To Share Christ ...... this means we, as Christians, seek to follow the truths found in…","2, Scholes, Wigan, WN1 3QJ",N/A,N/A,N/A
Way,N/A,"We are diverse and made up of people of all ages. No matter what your background or worldview is, we believe that Jesus is the way to life for everyone.","The Edge, Riveredge, Wigan, WN3 5AB, 01942 244460",N/A,N/A,N/A
