Title,Schedule,Description,Location,Phone,Email,Website
Home delivery - Books and more,N/A,We know that some of our customers are housebound and so may be unable to access the library service. To help these customers we are now working in partnership with Wigan and Leigh Pensioners Link to offer the ‘Books and more’ service. If you’re interested…,"Civic Square, Leigh, Lancashire, WN7 1EB",N/A,N/A,N/A
Libraries in the Wigan Borough,N/A,"In all libraries you will find a huge selection of books on all kinds of subjects, as well as compact discs, videos, talking books, newspapers, magazines, DVDs and FREE use of the internet computers. Libraries are free to join Below is a list of all the…",N/A,N/A,N/A,N/A
What's On - Libraries,N/A,Select the link provided to find out more.,N/A,N/A,N/A,N/A
The Yellow Door Community Library,Tuesday-Friday 9:30am - 12:00pm and the last Saturday morning of each month.,"We provide a bright, warm and welcoming space where children of all ages and their families can come and read and borrow books completely free of charge. We also have a range of toys, games and puzzles as well as dressing up outfits, and have…","Clifton Street Community Centre, Clifton Street, Worsley Mesnes, Wigan, WN3 5HN",N/A,N/A,N/A
