Title,Schedule,Description,Location,Phone,Email,Website
St Mary's Centre - Sexual Assault and Rape Counselling,N/A,"If you have been raped or sexually assaulted, we are here to help you. We will help you recover from both the physical and emotional effects of the assault. Please go to their website provided for help and support.",0161 276 6515,N/A,N/A,N/A
Victim Support,N/A,"As an independent charity, we work towards a world where people affected by crime or traumatic events get the support they need and the respect they deserve. We help people feel safer and find the strength to move beyond crime. Our support is free,…",WN1 1NH,N/A,N/A,N/A
We Are With You (Addaction) Wigan & Leigh,N/A,"We provide free, confidential support to people experiencing issues with drugs, alcohol or mental health. We use our expertise to deliver support and raise awareness around drugs, alcohol and mental health.",N/A,N/A,N/A,N/A
