Title,Schedule,Description,Location,Phone,Email,Website
Coops Foyer,Staffed 24 hours a day,"Coops Foyer has 24 self contained flats in the centre of Wigan for young people aged 16-25 who are having housing problems. To be in with a chance of getting one of the flats you would need to agree to do some work or training,…","Chequers St, WIGAN, LANCASHIRE, WN1 1HN, 01925 593724",N/A,N/A,N/A
Gingerbread,N/A,"We want a society in which single parent families are treated equally and fairly. To get there, we provide information to help single parents support themselves and their family. We run programmes to equip single parents with the skills and opportunities to gain employment. And…",N/A,N/A,N/A,N/A
Information and Advice (Age UK Wigan Borough),N/A,From April 2022 and March 2023 we have assisted households across Wigan Borough to claim over £2 million that would have otherwise been unclaimed benefits. This resulted in some households having a dramatic increase in their weekly income as well as being exempt from paying…,"74-80 Hallgate, Hallgate, Wigan, WN1 1HP",N/A,N/A,N/A
Legal Aid Agency,N/A,"We have a team of around 1,250 staff and offices in towns and cities across England and Wales. Our head office is in London. We are responsible for: making sure legal aid services from solicitors, barristers and the not-for-profit sector are available to the general…",N/A,N/A,N/A,N/A
Money Helper,N/A,"MoneyHelper joins up money and pensions guidance to make it quicker and easier to find the right help, MoneyHelper brings together the support and services of three government-backed financial guidance providers: the Money Advice Service, the Pensions Advisory Service and Pension Wise. Free and impartial money…",N/A,N/A,N/A,N/A
Unify Credit Union - Leigh,"10-3 Monday, Tuesday, Thursday, Friday. 10-1 on Wednesdays.","For more than 30 years Unify Credit Union has served the community helping people to save, borrow and plan for tomorrow. Unify Credit Union offers you a local, not-for-profit alternative to a high street bank. Members put their savings into a Unify Savings account, and we…","90, Bradshawgate, Leigh, Greater Manchester, WN7 4NP, 01942 245656",N/A,N/A,N/A
Unify Credit Union - Wigan,"10am -3pm Monday, Tuesday, Thursday, Friday. 10am -1pm on Tuesdays. 10am-12noon on Saturdays.","For more than 30 years Unify Credit Union has served the community helping people to save, borrow and plan for tomorrow. Unify Credit Union offers you a local, not-for-profit alternative to a high street bank. Members put their savings into a Unify Savings account, and we…","21, Crompton Street, Wigan, Greater Manchester, WN1 1BN, 01942 245656",N/A,N/A,N/A
Wigan Wellbeing & Resilience Services,Monday to Friday 9am to 5pm,Wigan Wellbeing & Resilience has been commissioned by Wigan Council and under the umbrella of Creative Support to provide a borough wide tenancy and wellbeing support service for adults and young people with a wide range of support needs.  The support service is based in…,"Olympic House, Platt Street, Platt Bridge, Wigan, WN2 5DA",N/A,N/A,N/A
