Title,Schedule,Description,Location,Phone,Email,Website
Bom-Ta-Bom Drumming and Music Therapy Workshops,From 4.30pm to 6.30pm,"Our drumming and music therapy workshops are led by a professional musician and are for young people and adults with disabilities, aged 16 and over. We provide a regular workshop at More Than Words on Thursdays from 4.30pm to 6.30pm, but we welcome enquiries about bespoke workshops in…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 07954 051445",N/A,N/A,N/A
The Grange at Hope School and College,N/A,"The Grange offers a busy, vibrant and varied environment. We follow a multi-sensory programme which is delivered via a topic based approach. Topics are chosen to make activities interesting and stimulating and that match each young person’s individual needs. Sessions are planned and delivered in…","Hope Special School, Kelvin Grove, Wigan, WN3 6SP",N/A,N/A,N/A
LifeBeats,N/A,"LifeBeats provides creative music sessions for people with learning/physical challenges. I currently provide sessions for My Life Legacy, Thrive CIC, True Colours CIC, CORE CIC and other day-care organisations in and around Wigan delivering music sessions using colour-assisted drums, song, dance, sign language, ukulele sessions,…",07403380486,N/A,N/A,N/A
More Than Words,"Open Mondays, Tuesdays, Wednesdays and Fridays from 9am to 4pm, and Thursdays 9am to 6.30pm","Are you an aspiring actor or drama queen?  More Than Words is a not-for-profit community organisation in Wigan that supports children, young people and adults with disabilities and/or autism. We specialise in drama, music, sports and healthy living activities, but we also provide opportunities for young…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 01942 735426",N/A,N/A,N/A
Music group,Tuesday 2 till 3,Place to place music in a group environment for beginners and professionals,"Platt bridge community zone 81, Ribble road, Platt bridge, Wigan, Greater Manchester, WN2 5EG",N/A,N/A,N/A
One Vision Media,N/A,"At One Vision Studios we provide an alternative community based training and activities programme in film and media education; taking a person centred, needs led approach to learning and support that will enable individuals to make informed choices about themselves and their education. For full…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Thrive (HINDLEY) CIC,Monday to Friday (9am - 4pm),"THRIVE CIC specialise in providing an alternative quality service, offering opportunities for people aged 16 plus with support needs, enhancing life skills and strengthening quality of life through positive thinking and creative activities. We provide a variety of onsite sessions and workshops across Thrive's two…","office 2, Platt Lane, Hindley, Wigan, Greater Manchester, WN2 3PA",N/A,N/A,N/A
