Title,Schedule,Description,Location,Phone,Email,Website
Autism Drop-In,Wednesdays 3:15-4:15pm,Come and meet our Early Years Worker who will have some fun activities to suit your child's needs. A great opportunity to meet other parents/carers to share experiences and chat.   Drop in session. No booking required. Term time only. Please call ahead to check…,"Douglas Valley Nursery, Turner Street, Scholes, Wigan, WN1 3SU, 01942 767503 option 2",N/A,N/A,N/A
SEN Sensory - Golborne (Term Time Only),Thursday's 3.30-4.30pm,"A session designed around offering support to families around behavioural concerns, development, speech delay/ a diagnosis. For 2-8 years old. For further information please contact Robyn on 01942 777705.","Talbot Street, WA3 3NN, 01942777705",N/A,N/A,N/A
Sensory Garden at Ince Start Well Family Centre,Mondays - Thursdays four time slots between 9:30am - 3pm (Depending on availability),Our sensory garden is now open for registered families. You can register your family online here:  Register for Start Well Children's Centres Opening times will be Monday - Thursday 9:30-3:00pm. We will have four time slots available. Booking is essential. Please contact the centre on…,"Charles Street, Ince, Wigan, WN2 2AL, 01942 767503",N/A,N/A,N/A
Tea & Tots Playgroup,Wednesday,"Tea and Tots is a relaxed playgroup with activities for babies and children from birth to 4 years old. Sessions take place in St Jude's School Hall (WN3 5AN) during term time. We meet every Wednesday - 9.15am 'til 10.30am, and just ask for a £1…","Worsley Mesnes Drive, Wigan, WN3 5AN",N/A,N/A,N/A
The Yellow Door Community Library,Tuesday-Friday 9:30am - 12:00pm and the last Saturday morning of each month.,"We provide a bright, warm and welcoming space where children of all ages and their families can come and read and borrow books completely free of charge. We also have a range of toys, games and puzzles as well as dressing up outfits, and have…","Clifton Street Community Centre, Clifton Street, Worsley Mesnes, Wigan, WN3 5HN",N/A,N/A,N/A
