Title,Schedule,Description,Location,Phone,Email,Website
Aspiring Futures,N/A,"Careers advice and guidanceIf you're a young person aged 13-16, you have the legal right to access independent and impartial information and advice from your school or college to help you make informed and realistic decisions about your future career. Speak to your high school or college…",N/A,N/A,N/A,N/A
Career Support for the Physical Activity Sector,Open Monday to Friday from 9am until 5:30pm,"Active Careers is a free service based in the North West that operates within the health, fitness and sport sector. We connect individuals looking for work who want to pursue an ""Active Career"" with employers, both small and large. Employers can post job roles for…","Stadium Way, Wigan, Lancarshire, WN5 0UN",N/A,N/A,N/A
"Learning, courses and training",Various,"No matter your age, there are learning, courses and training options for everyone.  Visit the website below to find out what's on offer.",N/A,N/A,N/A,N/A
National Careers Service,N/A,"The National Careers Service provides high quality, free and impartial careers advice, information and guidance. Our service is available to anyone aged 13+ no matter what stage of the careers journey you’re at. Please visit their website below for more information.",0800 100 900,N/A,N/A,N/A
Traineeships,N/A,"A traineeship is a 16 week full time programme of skills development and learning whilst ‘on the job’. Our Traineeship programme offers learners the chance to gain the skills, knowledge and experience needed to begin applying for apprenticeships/jobs in a job sector of their choosing.…","74-80 Hallgate, Wigan, Greater Manchester, WN1 1HP",N/A,N/A,N/A
West Lancashire College,N/A,"Based in the heart of Skelmersdale, West Lancashire College offers students a variety of courses to assist them in achieving their future career. West Lancashire College is a small, community based college, forming part of the NCG Group which is a large and successful national…","Northway Campus, College Way, Skelmersdale, Lancashire, WN8 6DX, 01695 52300",N/A,N/A,N/A
Wigan and Leigh College,N/A,"We have been providing quality education and training for the people of Wigan and beyond since 1857. We offer exceptional teaching, support and guidance in a range of academic, vocational, technical and apprenticeship programmes. We offer significant progression routes alongside key employability skills, preparing you…","Parson's Walk, Wigan, WN1 1RS, 01942 761 600",N/A,N/A,N/A
Working in Early Years and Childcare,N/A,"For further information, contact details and what to do next please go to the website below.",N/A,N/A,N/A,N/A
