Title,Schedule,Description,Location,Phone,Email,Website
Children in Care,N/A,"Leaving Care - Advice and support for when you leave care. Council’s responsibilities - As a corporate parent for children in care we have certain responsibilities. Residential homes - Accommodation for young people that have emotional, attachment or behaviour difficulties. Independent reviews - Reviewing the needs…",WN3 4NW,N/A,N/A,N/A
Wigan and Leigh College,N/A,"We have been providing quality education and training for the people of Wigan and beyond since 1857. We offer exceptional teaching, support and guidance in a range of academic, vocational, technical and apprenticeship programmes. We offer significant progression routes alongside key employability skills, preparing you…","Parson's Walk, Wigan, WN1 1RS, 01942 761 600",N/A,N/A,N/A
