Title,Schedule,Description,Location,Phone,Email,Website
Kip McGrath Education Centre - Ashton-in-Makerfield,N/A,Kip McGrath in Ashton-in-Makerfield is a warm and welcoming centre located on Wigan Road near Ashton Library.    We offer high quality Maths and English tuition to children from ages 5-16. Including SATs and GCSE tuition. We provide help for students who have fallen behind…,"23, Wigan Road,, Ashton-in-Makerfield, WIGAN, Greater Manchester, WN4 9AR, 01942 949689",N/A,N/A,N/A
Music Service,Monday - Friday 8:45am to 5:00pm,"Our service supports children and young people to access a wide range of music making opportunities both in and outside of the classroom through: Instrumental music tuition Curriculum Support for Schools  Bands, Choirs, Orchestras and Ensembles CPD for teachers  Large Scale Vocal Projects Opportunities for…","Park Rd, WIGAN, LANCASHIRE, WN2 3RY",N/A,N/A,N/A
Next Level Learning Limited,Our office is open Monday to Friday 9am - 3pm (outreach services run later),"Next Level Learning are an Ofsted registered tuition service and alternative provision that deliver Maths, English and Science sessions to primary, secondary and post 16 pupils.  We use only fully qualified, and DBS checked teachers and the company has many years experience teaching pupils that…","56a - 60a, Market Street, Hindley, Wigan, England, WN2 3AN, 07590 995823",N/A,N/A,N/A
Top Grades Education: Tutoring Service,"Open Monday - Friday 2pm - 8pm, Tuesday 9am - 9pm, Saturday 9am - 1pm","Does your child struggle to: understand methods and ideas? complete their homework? ask questions in class? Top Grades provides a purposeful relaxed environment free from distractions; a safe place to explore ideas, make mistakes and unearth misconceptions. We specialise in supporting young people to feel…","15, Cross Street, Standish, Wigan, Lancashire, WN6 0HQ, 07824776510, 07824549441",N/A,N/A,N/A
Tutorfair - Find Top Tutors Locally or Online,Sessions are arranged between tutors and clients.,"Find the best tutors in Wigan and online!  Tutorfair is a website that allows you to find and book top-quality tutors, both online and for face-to-face tuition. Tutorfair have hundreds of verified tutors in Wigan  and across the country. Our tutors specialise in Maths, English, French, Chemistry, Languages and much more. Book a…","10, Finsbury Square, London, London, EC2A 1AF, 02033224748",N/A,N/A,N/A
Tutoring4You - Personalised Online Tuition,N/A,Our ecosystem of learning caters to each child specifically and it's our 1:1 approach that ensures all of our students fulfil their potential! Book a free taster lesson with your best-fit tutor today.,N/A,N/A,N/A,N/A
UK Tutors,N/A,"UK Tutors allows users to quickly and easily find local tutors in a wide range of academic subjects from English to Spanish, Physics to Philosophy. By using our search feature, you will be able to identify a number of suitable tutors operating within your local…",N/A,N/A,N/A,N/A
